post_id,parent_id,comment_id,text,category,clean_tokens
1,null,null,Eliciting priors from experts,title,"[""eliciting"",""priors"",""experts""]"
2,null,null,What is normality?,title,"[""normality"",""?""]"
3,null,null,What are some valuable Statistical Analysis open source projects?,title,"[""valuable"",""statistical"",""analysis"",""open"",""source"",""projects"",""?""]"
4,null,null,Assessing the significance of differences in distributions,title,"[""assessing"",""significance"",""differences"",""distributions""]"
6,null,null,The Two Cultures: statistics vs. machine learning?,title,"[""two"",""cultures"","":"",""statistics"",""vs."",""machine"",""learning"",""?""]"
7,null,null,Locating freely available data samples,title,"[""locating"",""freely"",""available"",""data"",""samples""]"
8,null,null,So how many staticians *does* it take to screw in a lightbulb?,title,"[""many"",""staticians"",""*"",""*"",""take"",""screw"",""lightbulb"",""?""]"
10,null,null,Under what conditions should Likert scales be used as ordinal or interval data?,title,"[""conditions"",""likert"",""scales"",""used"",""ordinal"",""interval"",""data"",""?""]"
11,null,null,Multivariate Interpolation Approaches,title,"[""multivariate"",""interpolation"",""approaches""]"
21,null,null,Forecasting demographic census,title,"[""forecasting"",""demographic"",""census""]"
22,null,null,Bayesian and frequentist reasoning in plain English,title,"[""bayesian"",""frequentist"",""reasoning"",""plain"",""english""]"
23,null,null,Finding the PDF given the CDF,title,"[""finding"",""pdf"",""given"",""cdf""]"
25,null,null,Tools for modeling financial time series,title,"[""tools"",""modeling"",""financial"",""time"",""series""]"
26,null,null,What is a standard deviation?,title,"[""standard"",""deviation"",""?""]"
30,null,null,Testing random variate generation algorithms,title,"[""testing"",""random"",""variate"",""generation"",""algorithms""]"
31,null,null,What is the meaning of p values and t values in statistical tests?,title,"[""meaning"",""p"",""values"",""values"",""statistical"",""tests"",""?""]"
33,null,null,R packages for seasonality analysis,title,"[""r"",""packages"",""seasonality"",""analysis""]"
36,null,null,Examples for teaching: Correlation does not mean causation,title,"[""examples"",""teaching"","":"",""correlation"",""mean"",""causation""]"
40,null,null,Pseudo-random number generation algorithms,title,"[""pseudo-random"",""number"",""generation"",""algorithms""]"
44,null,null,Explain data visualization,title,"[""explain"",""data"",""visualization""]"
47,null,null,"Clustering of large, heavy-tailed dataset",title,"[""clustering"",""large"","","",""heavy-tailed"",""dataset""]"
53,null,null,PCA on correlation or covariance?,title,"[""pca"",""correlation"",""covariance"",""?""]"
54,null,null,Why do US and UK Schools Teach Different methods of Calculating the Standard Deviation?,title,"[""us"",""uk"",""schools"",""teach"",""different"",""methods"",""calculating"",""standard"",""deviation"",""?""]"
58,null,null,Can someone please explain the back-propagation algorithm?,title,"[""someone"",""please"",""explain"",""back-propagation"",""algorithm"",""?""]"
73,null,null,What R packages do you find most useful in your daily work?,title,"[""r"",""packages"",""find"",""useful"",""daily"",""work"",""?""]"
75,null,null,Where can I find useful R tutorials with various implementations?,title,"[""find"",""useful"",""r"",""tutorials"",""various"",""implementations"",""?""]"
93,null,null,Robust nonparametric estimation of hazard/survival functions based on low count data,title,"[""robust"",""nonparametric"",""estimation"",""hazard/survival"",""functions"",""based"",""low"",""count"",""data""]"
95,null,null,How Large a Difference Can Be Expected Between Standard GARCH and Asymmetric GARCH Volatility Forecasts?,title,"[""large"",""difference"",""expected"",""standard"",""garch"",""asymmetric"",""garch"",""volatility"",""forecasts"",""?""]"
97,null,null,What are good basic statistics to use for ordinal data?,title,"[""good"",""basic"",""statistics"",""use"",""ordinal"",""data"",""?""]"
103,null,null,What is your favorite data visualization blog?,title,"[""favorite"",""data"",""visualization"",""blog"",""?""]"
